platform,asin,title,brand,category,current_price,original_price,discount,rating,reviews_count,prime_eligible,amazon_choice,sponsored,main_image,product_url,scraped_at
amazon,B0D6725WRL,"Case Compatible with Samsung Galaxy S24 Ultra, Clear Case with Four Corners, Full Body Protection TPU Anti-Yellowing Phone Case - Clear",,Samsung phone,EGP 49.00,,,4.0,,,,,https://m.media-amazon.com/images/I/71-uaUrE0qL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0D6725WRL,2026-03-28T17:21:15.679162
amazon,B0CKNCGP5S,Dragon,Dragon,Samsung phone,EGP 47.88,,,2.0,,,,,https://m.media-amazon.com/images/I/61XAn0LmrjL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKNCGP5S,2026-03-28T17:21:15.679570
amazon,B0CW3CNFMG,"Tempered Glass Screen Protector for Samsung Galaxy A54 – Full Coverage Front Protection with Black Frame, Anti-Scratch, Easy Installation – Black",,Samsung phone,EGP 49.00,,,2.2,,,,,https://m.media-amazon.com/images/I/61AuBHA43OL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CW3CNFMG,2026-03-28T17:21:15.679963
amazon,B0CKNFGLBQ,Dragon,Dragon,Samsung phone,EGP 47.88,,,,,,,,https://m.media-amazon.com/images/I/61qcgbmOUFL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKNFGLBQ,2026-03-28T17:21:15.680333
amazon,B0FGXP1JKP,"Silicone Phone Case, Shockproof, Flexible with Scratch-Resistant, Anti-Fingerprint, Raised Edges for Full Camera And Screen Protection, Compatible With Samsung S24 - Clear",,Samsung phone,EGP 41.04,,,,,,,,https://m.media-amazon.com/images/I/51r3RKJSBQL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FGXP1JKP,2026-03-28T17:21:15.680674
amazon,B0CJP1NFND,Screen Protector HD+ Full Screen Protector with Black Frame Compatible with Samsung Galaxy A34,,Samsung phone,EGP 44.00,,,3.4,,,,,https://m.media-amazon.com/images/I/71EMfMHGf1L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CJP1NFND,2026-03-28T17:21:15.681062
amazon,B091JG5Q49,Lindy,Lindy,Samsung phone,EGP 39.00,,,5.0,,,,,https://m.media-amazon.com/images/I/6103pjQ6ZmL._AC_UL320_.jpg,https://www.amazon.eg/dp/B091JG5Q49,2026-03-28T17:21:15.681458
amazon,B0CKNDST97,Dragon,Dragon,Samsung phone,EGP 47.88,,,,,,,,https://m.media-amazon.com/images/I/41bfzy8HGyL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKNDST97,2026-03-28T17:21:15.681810
amazon,B0CK6TKS53,جراب موبايل محفظة أصفر مناسب لهاتف محمول سامسونج جلاكسي for Samsung Galaxy Y Duos 6102 and 5300 POCKET 5280 5282 Star Star dous 6310 6312 YOUNG G130 YOUNG 2 6102 Y DOUS 5570 MINI 5830 ACE 6810 FAME,,Samsung phone,EGP 49.99,,,,,,,,https://m.media-amazon.com/images/I/61GAfMqqpTL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CK6TKS53,2026-03-28T17:21:15.682167
amazon,B0CDGT5PPL,Plastic Hard Back Phone Case With Colored Silicone Edges And Semi Transparent Back For Samsung Galaxy A01 / A015F 5.7 inch - Green Orange,,Samsung phone,EGP 37.05,,,5.0,,,,,https://m.media-amazon.com/images/I/51kC40kQtXL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CDGT5PPL,2026-03-28T17:21:15.682615
amazon,B0CKNCWQGY,Plastic Creative Back Phone Protection Case Print Design With Silicone Safety Edges And 3D Back Print For Samsung Galaxy S11E / S20 - Multi Color,,Samsung phone,EGP 47.88,,,,,,,,https://m.media-amazon.com/images/I/51FWvm-NVtL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKNCWQGY,2026-03-28T17:21:15.682965
amazon,B0DDG44PZV,Compatible with Samsung Galaxy S24 Case Cover Premium Slim Soft Shockproof Wallet Case with Card Holder and Camera Protection for by Grabist (Samsung Galaxy S24),,Samsung phone,EGP 50.00,,,3.7,,,,,https://m.media-amazon.com/images/I/71Lcy6Fg8+L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0DDG44PZV,2026-03-28T17:21:15.683401
amazon,B0CDGS7LYK,Tempered Glass Strong Magnetic Full Package Protection Case With Metal Frame And Anti Scratch For Samsung Galaxy A60/M40 6.3 Inch - Silver Black,,Samsung phone,EGP 44.46,,,,,,,,https://m.media-amazon.com/images/I/61grHkClZ+L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CDGS7LYK,2026-03-28T17:21:15.683755
amazon,B0CKNCTHS6,Dragon,Dragon,Samsung phone,EGP 47.88,,,2.0,,,,,https://m.media-amazon.com/images/I/61Yp40wPtpL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKNCTHS6,2026-03-28T17:21:15.684170
amazon,B0CLSC9217,"Gelatin 3D Front And Back Full Cover Screen Protection With Anti Scratch Layer And High Transparency For Samsung Galaxy J2 Pro (2018) 5.0"" 0.2 MM Set Of 2 Pieces - Clear",,Samsung phone,EGP 30.10,,,5.0,,,,,https://m.media-amazon.com/images/I/61w73eARHfL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CLSC9217,2026-03-28T17:21:15.684572
amazon,B0CKNDV8C3,Dragon,Dragon,Samsung phone,EGP 47.88,,,,,,,,https://m.media-amazon.com/images/I/519PvMMPEBL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKNDV8C3,2026-03-28T17:21:15.684921
amazon,B0D76Y8HF6,( For (Samsung Galaxy S23 Ultra) Clear Back Cover Case Ultra Clear Best Camera Protection(Clear,,Samsung phone,EGP 49.00,,,1.0,,,,,https://m.media-amazon.com/images/I/71iKgma-CWL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0D76Y8HF6,2026-03-28T17:21:15.685329
amazon,B09BG59YSK,"Tempered Glass Anti-Fingerprint HD Plus Curved Screen Protector for Samsung Galaxy M21, 6.4 inches - Black",,Samsung phone,EGP 42.77,,,1.0,,,,,https://m.media-amazon.com/images/I/616uc4xowFL._AC_UL320_.jpg,https://www.amazon.eg/dp/B09BG59YSK,2026-03-28T17:21:15.685719
amazon,B0BKQRCYRP,Carbon Fiber Back Skin 3D for Mobile Compatible with Samsung Galaxy A23 (1),,Samsung phone,EGP 30.00,,,3.2,,,,,https://m.media-amazon.com/images/I/61q5HPi1oxL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0BKQRCYRP,2026-03-28T17:21:21.281983
amazon,B08XRX39C7,10D Full Covered Tempered Glass Screen Protector For 6.4 Inches For Samsung Galaxy A20 & A30 & A50 & A30s & A50s - Clear Black,,Samsung phone,EGP 47.00,,,1.9,,,,,https://m.media-amazon.com/images/I/51SDyu0So2S._AC_UL320_.jpg,https://www.amazon.eg/dp/B08XRX39C7,2026-03-28T17:21:21.282623
amazon,B09H6GJP7L,SAMSUNG A20 Universal Case (Black),,Samsung phone,,,,,,,,,https://m.media-amazon.com/images/I/61Xsd4S+TmL._AC_UL320_.jpg,https://www.amazon.eg/dp/B09H6GJP7L,2026-03-28T17:21:21.282985
amazon,B0FNL3282D,"Type C to AUX Cable, USB C to 3.5mm Jack Male Cable, Made with braided nylon Compatible with Samsung Phones, USB C to 3.5mm AUX Headphone Cable Adapter for Car, Note10, Google Pixel, Huawei.",,Samsung phone,EGP 64.00,EGP 81.38,,3.8,Was:,,,,https://m.media-amazon.com/images/I/51PRkaz6VgL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FNL3282D,2026-03-28T17:21:29.861814
amazon,B0DWV9MBG9,"Case for Samsung Galaxy A26 5G, soft protective liquid silicone case, high-quality silicone premium TPU mobile phone case for Samsung Galaxy A26 5G, transparent.",,Samsung phone,EGP 61.02,,,4.0,,,,,https://m.media-amazon.com/images/I/612ZODMGgBL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0DWV9MBG9,2026-03-28T17:21:29.862259
